row_type,category,subcategory,supplier_name,contract_id,request_title,contract_end_date,months_to_expiry,estimated_spend_usd,implementation_timeline_months,preferred_supplier_status
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Access Information Management Of Ge,C2025053206,,2026-12-31,8,55697,,allowed
new_business,IT Infrastructure,IT Infrastructure - Print Services,,,Multifunction Device Refresh,,,380000,5,preferred
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Mandiant,C2020013760,,2026-07-09,3,300000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Mobile Communications Products and Services,Att Corp,C2019022082,,2027-12-31,21,32000000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Help Desk Services,,,PC Lifecycle Management Services,,,2700000,8,preferred
new_business,IT Infrastructure,IT Infrastructure - Personal Productivity Solutions,,,E-Learning Platform Procurement,,,650000,5,allowed
renewal,IT Infrastructure,IT Infrastructure - Help Desk Services,"Autana Business Partners, S.L.",C2022017111,,2027-07-01,14.0,528020,,
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Databricks Inc,C2025051767,,2026-12-31,8,144144,,allowed
new_business,IT Infrastructure,IT Infrastructure - Print Services,,,Document Destruction Services,,,175000,3,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Zafran Security Inc,C2024016623,,2027-07-24,15,2950000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Mobile Communications Products and Services,Gigil Tech,C2022027045,,2027-08-31,16,420000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Print Services,Ricoh Usa Inc,C2023014187,,2028-03-31,24,73100,,allowed
new_business,IT Infrastructure,IT Infrastructure - Help Desk Services,,,Service Desk Tooling Upgrade,,,1100000,6,allowed
renewal,IT Infrastructure,IT Infrastructure - Mobile Communications Products and Services,Vodafone Global Enterprise Limited,C2023029136,,2026-12-31,8,878430,,preferred
renewal,IT Infrastructure,IT Infrastructure - Network  Transport Data/Voice,"World Wide Technology, Llc.",C2025032272,,2028-01-01,21,1323617,,preferred
new_business,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,,,Network Monitoring Tools Procurement,,,880000,5,allowed
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,"Eos It Management Solutions, Inc.",C2025035155,,2028-02-29,23,774486,,allowed
new_business,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,,,Identity Governance & Administration,,,2900000,9,preferred
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Ibm,C2023027260,,,,11090520,,
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Vmware Inc,C2024024426,,2027-10-28,18,1000000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Mobile Communications Products and Services,Vodafone Global Enterprise Limited,C2020013661,,2026-06-30,2,410682,,preferred
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Aifa Labs Llc,C2025047867,,2026-08-31,4,220000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Processunity Inc.,C2024022671,,2027-12-31,21,1348750,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Sap America Inc,C2025049783,,2026-08-05,3,155446,,preferred
renewal,IT Infrastructure,IT Infrastructure - Print Services,Iron Mountain Informationmanagement,C2025052731,,2026-12-31,8,600060,,preferred
renewal,IT Infrastructure,IT Infrastructure - Mobile Communications Products and Services,Futura Mobility,C2022012369,,2027-03-23,11,2000000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Access Information Management Of Ge,C2025054794,,2026-12-31,8,55697,,allowed
renewal,IT Infrastructure,IT Infrastructure - Print Services,Xerox Ag,C2023000133,,2026-12-01,7,1161891,,allowed
renewal,IT Infrastructure,IT Infrastructure - Print Services,Ricoh Usa Inc,C2024006619,,2027-09-30,18,1207655,,allowed
new_business,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,,,SD-WAN Deployment - LATAM,,,1100000,8,allowed
new_business,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,,,IAM Platform Implementation,,,4500000,6.0,preferred
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Megaport Limited,C2022026325,,2027-10-30,18,2000000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Beyondtrust Corporation,C2021028341,,2027-03-20,11,1500000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Print Services,,,Print Fleet Consolidation,,,490000,7,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Cognizant Worldwide Limited,C2024017194,,2026-08-01,3,4923322,,allowed
renewal,IT Infrastructure,IT Infrastructure - Personal Computers,Gravity Enterprises Llc,C2017010765,,2026-06-30,2,500000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Network  Transport Data/Voice,中国电信股份有限公司上海分公司,C2024029067,,2027-12-26,20,52920,,allowed
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Telesoft Llc,C2023005296,,2027-07-01,14,900000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Cisco Systems Inc,C2024004533,,2027-02-25,10,5000000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Zeroeyes Inc.,C2024025096,,2028-05-29,26,126000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Personal Computers,,,Laptop Fleet Refresh - Manufacturing,,,4200000,4,preferred
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Ntt America Inc,C2023013978,,2026-12-19,8,2900000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Opt Tech Llc,C2024018381,,2027-07-08,15,1500000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Ntt United Kingdom Limited,C2023017719,,2026-12-31,8,90603,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Oracle Usa Inc,C2025034259,,2028-02-26,22,235614,,preferred
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Ntt United Kingdom Limited,C2023028632,,2026-12-31,8,1714604,,allowed
new_business,IT Infrastructure,IT Infrastructure - Personal Computers,,,Desktop PC Refresh - HQ,,,1500000,7,allowed
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Comcast Cable Communications,C2023020544,,2026-08-15,4,840000,,allowed
